id;jhi_key;shift_start;shift_end;type
1;20016;2024-01-01T10:37:21;2024-01-01T10:52:33;hearthside greatly commodity
2;28752;2024-01-01T10:38:22;2024-01-01T21:21:05;bitterly upset opposite
3;2267;2024-01-01T04:05:56;2024-01-01T15:24:13;pointed
4;12065;2024-01-01T21:31:08;2024-01-01T04:43:38;elevator amidst
5;20141;2024-01-01T17:55:16;2024-01-01T15:37:22;daily jaw
6;895;2024-01-01T05:27:21;2024-01-01T12:32:30;imperil
7;6805;2024-01-01T15:35:25;2024-01-01T23:58:39;underneath
8;30381;2024-01-01T23:17:38;2024-01-01T16:07:18;gadzooks spear revival
9;4193;2024-01-01T10:16:03;2024-01-01T15:03:00;smoothly
10;21597;2024-01-01T08:11:11;2024-01-01T04:40:08;stimulation among barring
