id;jhi_key;shift_start;shift_end;type
1;5563;2024-01-01T08:14:22;2024-01-01T09:17:53;recede
2;31154;2024-01-01T23:46:26;2024-01-01T10:42:49;unabashedly mochi soft
3;2954;2024-01-01T18:19:25;2024-01-01T05:42:49;pirouette soon
4;11966;2024-01-01T20:22:31;2024-01-01T11:28:10;cant alarmed enumerate
5;19843;2024-01-01T14:54:42;2024-01-01T15:08:30;outside conventional bet
6;17286;2024-01-01T03:48:12;2024-01-02T01:09:06;enemy boldly
7;14694;2024-01-01T08:29:10;2024-01-01T10:47:56;represent tightly
8;13070;2024-01-01T03:16:21;2024-01-02T00:11:21;send
9;9210;2024-01-01T12:07:30;2024-01-01T17:15:21;because guess
10;12493;2024-01-01T23:52:29;2024-01-01T17:10:21;that
